Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
00601,18088.0,37.1,10833.0,7229.0,10911.0,60.32176028306059
00602,40859.0,39.0,16353.0,9048.0,21724.0,53.168212633691475
00603,53162.0,39.2,16323.0,9888.0,26027.0,48.95790226101351
00606,6415.0,39.2,14138.0,6385.0,3778.0,58.89321901792673
00610,28805.0,39.7,17265.0,8197.0,14149.0,49.11994445408783
00612,66251.0,39.3,17752.0,10201.0,30858.0,46.577410152299585
00616,10466.0,41.6,15115.0,8533.0,5174.0,49.436269826103576
00617,24917.0,36.6,15461.0,8024.0,13399.0,53.77453144439539
00622,6589.0,41.6,14993.0,9611.0,3963.0,60.145697374411895
00623,44117.0,40.2,17044.0,9075.0,21791.0,49.39365777364735
00624,24902.0,34.8,15467.0,6981.0,14829.0,59.54943378041924
00627,34438.0,38.4,19490.0,9493.0,15178.0,44.07340728265288
00631,1847.0,40.8,9613.0,5474.0,1075.0,58.20249052517596
00637,24799.0,38.9,14977.0,7988.0,12537.0,50.55445784104198
00638,18365.0,38.0,12588.0,6660.0,10921.0,59.46637625918867
00641,30183.0,39.2,15542.0,7701.0,16240.0,53.80512208859292
00646,38305.0,38.0,27924.0,14753.0,13785.0,35.98746899882522
00647,5245.0,46.6,13668.0,7388.0,2882.0,54.947569113441375
00650,14679.0,37.3,15090.0,7170.0,7947.0,54.13856529736358
00652,3831.0,39.9,14903.0,10640.0,1873.0,48.89062907856957
00653,13427.0,36.7,13596.0,6347.0,9128.0,67.98242347508751
00656,20839.0,37.2,15440.0,7561.0,11290.0,54.177263784250684
00659,41830.0,38.4,19130.0,9632.0,19270.0,46.06741573033708
00660,17023.0,43.0,21323.0,10700.0,6039.0,35.475533102273396
00662,43101.0,38.9,16050.0,8584.0,23452.0,54.4117305862973
00664,16298.0,34.5,15976.0,7410.0,9264.0,56.84133022456743
00667,25510.0,41.0,13527.0,6946.0,15260.0,59.81967855742846
00669,28442.0,38.3,11967.0,7109.0,16781.0,59.000773503973
00670,9478.0,38.0,14989.0,6979.0,5301.0,55.929520995990714
00674,43240.0,38.5,18796.0,10347.0,19424.0,44.921369102682704
00676,39513.0,36.9,15277.0,7833.0,20809.0,52.663680307746816
00677,15012.0,41.7,16737.0,9339.0,7557.0,50.33972821742606
00678,27045.0,38.4,14824.0,7472.0,15616.0,57.74080236642633
00680,54824.0,38.9,15173.0,9243.0,26982.0,49.215671968480954
00682,31908.0,35.9,15868.0,11364.0,16249.0,50.92453303246835
00683,33050.0,41.3,15030.0,9215.0,15631.0,47.29500756429652
00685,41403.0,40.5,14686.0,7390.0,23407.0,56.53455063642731
00687,32484.0,34.3,16086.0,7722.0,17926.0,55.184090629232855
00688,13251.0,40.0,14135.0,7376.0,7051.0,53.211078409176665
00690,5906.0,35.0,19688.0,10396.0,2465.0,41.73721639011175
00692,37329.0,35.6,18003.0,10111.0,18621.0,49.88346861689303
00693,59513.0,38.0,16709.0,9188.0,29692.0,49.89162031824979
00694,134.0,64.8,11250.0,8541.0,109.0,81.34328358208955
00698,40276.0,39.9,15414.0,7873.0,20686.0,51.360611778726785
00703,28739.0,36.0,14968.0,8126.0,15730.0,54.73398517693726
00704,8100.0,34.2,12341.0,7142.0,4498.0,55.53086419753087
00705,25090.0,38.3,16744.0,8668.0,12406.0,49.445994420087686
00707,11904.0,40.3,17866.0,8436.0,6682.0,56.13239247311828
00714,19229.0,36.2,15901.0,8006.0,9925.0,51.614748556867234
00715,3714.0,41.5,13534.0,10362.0,2425.0,65.29348411416262
00716,31362.0,38.8,18609.0,12879.0,15061.0,48.023085262419485
00717,18176.0,33.2,11692.0,8941.0,10955.0,60.271786971830984
00718,26786.0,35.1,18247.0,9757.0,14331.0,53.50182931382065
00719,30772.0,36.4,17592.0,9386.0,15235.0,49.50929416352528
00720,22862.0,36.0,14578.0,6970.0,13411.0,58.66065960983291
00723,18766.0,40.5,14343.0,7745.0,10592.0,56.442502397953746
00725,88152.0,38.1,20704.0,11448.0,37001.0,41.974090207822854
00727,57036.0,38.3,29304.0,15475.0,17390.0,30.48951539378638
00728,42333.0,35.9,17689.0,9185.0,20622.0,48.71376939975905
00729,54198.0,35.9,21243.0,10328.0,23004.0,42.44437064098306
00730,36201.0,38.7,15459.0,10514.0,19153.0,52.90737824921963
00731,14320.0,41.3,15894.0,8360.0,7769.0,54.252793296089386
00735,13203.0,39.3,20450.0,10627.0,5728.0,43.38407937589942
00736,51116.0,38.6,21023.0,11989.0,21583.0,42.22356991939901
00738,33835.0,38.7,20917.0,10753.0,14647.0,43.28949312841732
00739,38424.0,37.2,23629.0,11931.0,14366.0,37.38809077659796
00740,1704.0,29.8,13077.0,7366.0,996.0,58.45070422535211
00741,5365.0,40.5,19237.0,8572.0,2406.0,44.846225535880706
00745,54253.0,38.1,22694.0,10489.0,21407.0,39.45772584004571
00751,23020.0,36.7,14236.0,8182.0,13548.0,58.85317115551694
00754,40022.0,38.1,17192.0,9975.0,19459.0,48.62075858277947
00757,23114.0,35.0,16344.0,8863.0,11750.0,50.83499177987367
00765,9139.0,42.0,18297.0,8641.0,3760.0,41.14235693183062
00766,25549.0,35.1,17210.0,8223.0,13729.0,53.735958354534425
00767,36962.0,38.6,16664.0,7866.0,19030.0,51.485309236513174
00769,39871.0,36.6,18053.0,9384.0,19698.0,49.4043289608989
00771,38435.0,36.5,19869.0,9804.0,18258.0,47.50357746845323
00772,21682.0,36.0,16118.0,7477.0,11832.0,54.5706115671986
00773,19731.0,39.3,18256.0,10495.0,8793.0,44.56439105975369
00775,1585.0,37.0,18167.0,9041.0,696.0,43.91167192429022
00777,40863.0,35.4,19398.0,9582.0,18671.0,45.691701539289824
00778,46569.0,36.2,27872.0,14491.0,16168.0,34.71837488457987
00780,13678.0,37.8,22197.0,14001.0,5124.0,37.461617195496416
00782,18595.0,36.3,13472.0,7308.0,10495.0,56.43990319978489
00783,35856.0,35.8,16860.0,7812.0,18840.0,52.543507362784474
00784,43251.0,35.9,17048.0,9336.0,20617.0,47.66826200550276
00786,327.0,57.2,21167.0,12746.0,12.0,3.669724770642202
00791,51757.0,39.2,20357.0,11062.0,22090.0,42.68021716869216
00794,30462.0,33.7,14998.0,7564.0,17977.0,59.01450988116342
00795,47106.0,36.4,18890.0,9163.0,23636.0,50.17619836114295
00901,6428.0,41.5,17256.0,26626.0,2567.0,39.934660858743
00906,43.0,27.7,33056.0,23858.0,0.0,0.0
00907,17910.0,47.5,30994.0,33071.0,5132.0,28.65438302624232
00909,6071.0,38.2,16309.0,12172.0,3169.0,52.19897875144128
00911,7425.0,48.1,28132.0,25950.0,2319.0,31.232323232323232
00912,6414.0,38.2,19781.0,13587.0,2641.0,41.175553476769565
00913,8179.0,28.2,6809.0,9320.0,5947.0,72.71060031788727
00915,30642.0,38.0,13773.0,7750.0,18317.0,59.777429671692445
00917,19723.0,43.9,15458.0,12331.0,10037.0,50.88982406327638
00918,16553.0,39.9,24712.0,21828.0,6697.0,40.45792303509938
00920,18729.0,44.0,26157.0,15194.0,5918.0,31.598056489935395
00921,38499.0,36.6,19263.0,11646.0,17520.0,45.507675524039584
00923,27853.0,37.0,15633.0,10003.0,14823.0,53.21868380425807
00924,56236.0,35.8,19142.0,11345.0,26262.0,46.6996230172843
00925,7120.0,32.8,11794.0,9538.0,3879.0,54.48033707865169
00926,105093.0,40.6,35140.0,21355.0,28763.0,27.369092137440173
00927,14764.0,46.8,33758.0,27680.0,3509.0,23.76727174207532
00934,188.0,38.6,83264.0,37230.0,0.0,0.0
00936,877.0,57.5,-666666666.0,12222.0,0.0,0.0
00949,80406.0,37.0,24961.0,12385.0,29521.0,36.71492177200707
00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
00951,15.0,-666666666.0,-666666666.0,,15.0,100.0
00952,9338.0,40.8,18499.0,9316.0,3801.0,40.70464767616192
00953,73537.0,35.4,29406.0,13366.0,23962.0,32.584957232413615
00956,75830.0,38.4,23125.0,11158.0,28585.0,37.696162468679944
00957,44639.0,38.0,23643.0,11789.0,17005.0,38.09449136405385
00959,48699.0,39.5,26754.0,14726.0,15180.0,31.17107127456416
00960,2037.0,33.3,-666666666.0,6792.0,13.0,0.6381934216985763
00961,31774.0,41.5,29169.0,15968.0,8997.0,28.31560395291748
00962,21204.0,34.8,16289.0,8495.0,11779.0,55.55083946425203
00965,8978.0,36.5,16135.0,7853.0,4786.0,53.30808643350412
00966,15785.0,41.9,53052.0,34661.0,2916.0,18.47323408299018
00968,3594.0,57.5,42036.0,37878.0,328.0,9.12632164718976
00969,42316.0,40.2,51285.0,27194.0,7339.0,17.343321675016544
00971,30349.0,40.9,23338.0,13614.0,11626.0,38.30768723845926
00976,61862.0,37.2,29736.0,15509.0,19356.0,31.28899809252853
00979,16157.0,46.9,38187.0,26440.0,3297.0,20.40601596831095
00982,15132.0,42.2,26370.0,13530.0,4874.0,32.20988633359767
00983,40273.0,38.3,27834.0,14276.0,12150.0,30.169095920343654
00985,35236.0,40.4,24514.0,12777.0,11377.0,32.288000908162104
00987,60544.0,36.3,31599.0,14202.0,17388.0,28.7196088794926
01001,17141.0,44.3,60775.0,29444.0,1390.0,8.109211831281723
01002,29844.0,23.0,55082.0,26668.0,7775.0,26.05213778313899
01003,11062.0,20.0,-666666666.0,3925.0,1.0,0.00903995660820828
01005,5113.0,42.7,68361.0,29004.0,224.0,4.380989634265598
01007,14774.0,41.8,74221.0,33213.0,1137.0,7.695952348720725
01008,1212.0,47.8,71979.0,32402.0,66.0,5.445544554455446
01009,546.0,46.4,40929.0,26221.0,95.0,17.399267399267398
01010,3667.0,46.0,82365.0,38147.0,110.0,2.9997272975184073
01011,1478.0,41.8,65324.0,27737.0,131.0,8.863328822733424
01012,499.0,51.2,56146.0,32802.0,49.0,9.819639278557114
01013,22299.0,35.8,41342.0,21371.0,3373.0,15.126238844791246
01020,30593.0,43.0,52236.0,27569.0,3175.0,10.37819108946491
01022,2711.0,41.2,60353.0,31004.0,530.0,19.549981556621173
01026,1009.0,49.2,51213.0,31472.0,58.0,5.7482656095143705
01027,17652.0,45.1,58551.0,32038.0,1420.0,8.044414230682076
01028,15917.0,45.6,84173.0,38050.0,790.0,4.9632468429980525
01029,701.0,48.4,52566.0,27894.0,120.0,17.118402282453637
01030,11485.0,44.2,68326.0,32030.0,1215.0,10.579016107966913
01031,1389.0,37.9,43583.0,23433.0,309.0,22.24622030237581
01032,585.0,47.9,65000.0,32552.0,21.0,3.58974358974359
01033,6214.0,44.1,79647.0,32916.0,348.0,5.600257483102672
01034,2061.0,47.1,77448.0,31986.0,152.0,7.375060650169821
01035,5285.0,45.6,74737.0,39118.0,381.0,7.209082308420057
01036,5141.0,48.9,79639.0,35739.0,216.0,4.201517214549699
01037,721.0,53.2,91471.0,39342.0,62.0,8.599167822468793
01038,2837.0,49.0,65536.0,35915.0,244.0,8.600634473034896
01039,1354.0,51.5,68500.0,37298.0,134.0,9.896602658788774
01040,40079.0,35.6,35550.0,21671.0,11755.0,29.32957409116994
01050,2512.0,42.5,52813.0,24837.0,220.0,8.757961783439491
01053,1847.0,49.9,59850.0,24213.0,306.0,16.5674066053059
01054,1836.0,50.8,78125.0,43596.0,175.0,9.531590413943356
01056,21288.0,44.8,61410.0,30684.0,1209.0,5.679255918827509
01057,8645.0,46.8,66343.0,32876.0,719.0,8.316946211683053
01060,15348.0,34.4,53427.0,34361.0,2186.0,14.242898097471983
01062,10830.0,44.6,64727.0,40954.0,1180.0,10.895660203139428
01063,612.0,20.5,-666666666.0,2369.0,0.0,0.0
01066,10.0,-666666666.0,-666666666.0,,0.0,0.0
01068,1791.0,44.4,80577.0,31607.0,92.0,5.13679508654383
01069,8982.0,41.9,54412.0,27546.0,615.0,6.847027388109552
01070,580.0,50.9,57031.0,28288.0,56.0,9.655172413793103
01071,1361.0,46.9,74688.0,33864.0,30.0,2.204261572373255
01072,1482.0,44.9,68203.0,35639.0,127.0,8.569500674763832
01073,5958.0,44.3,68693.0,33589.0,290.0,4.867405169519973
01074,301.0,33.8,58140.0,20456.0,0.0,0.0
01075,17832.0,41.0,62408.0,31200.0,1430.0,8.019291161956033
01077,9599.0,43.9,81967.0,37591.0,279.0,2.906552765913116
01079,542.0,43.5,43654.0,29340.0,82.0,15.129151291512915
01080,2176.0,39.5,42794.0,21878.0,434.0,19.94485294117647
01081,1807.0,44.7,52768.0,28055.0,77.0,4.261206419479801
01082,10394.0,43.0,52709.0,27946.0,1508.0,14.50837021358476
01083,3108.0,37.9,37126.0,22264.0,313.0,10.070785070785071
01084,211.0,59.1,49886.0,37084.0,12.0,5.687203791469194
01085,41121.0,38.4,61211.0,28480.0,4176.0,10.155395053622236
01086,1038.0,19.2,-666666666.0,2736.0,0.0,0.0
01088,446.0,59.9,41875.0,32337.0,123.0,27.57847533632287
01089,28554.0,39.6,52806.0,27356.0,3116.0,10.912656720599566
01092,1078.0,30.9,48679.0,29368.0,322.0,29.87012987012987
01093,282.0,53.3,82222.0,45750.0,7.0,2.482269503546099
01094,310.0,54.0,19028.0,29814.0,0.0,0.0
01095,14436.0,48.1,86908.0,39366.0,681.0,4.71737323358271
01096,2522.0,44.3,70438.0,35468.0,168.0,6.661379857256146
01097,36.0,43.5,40556.0,13453.0,2.0,5.555555555555555
01098,1095.0,53.4,71500.0,36270.0,52.0,4.748858447488584
01103,2472.0,33.5,13666.0,19298.0,1342.0,54.288025889967635
01104,22285.0,36.1,29184.0,18029.0,6325.0,28.38231994615212
01105,12054.0,29.1,17657.0,12728.0,6287.0,52.15696034511365
01106,16077.0,46.4,106296.0,53559.0,831.0,5.168874790072775
01107,11706.0,29.5,22287.0,12492.0,5498.0,46.96736716213908
01108,26670.0,31.6,35238.0,19078.0,7611.0,28.537682789651292
01109,30987.0,25.4,32644.0,13487.0,9494.0,30.63865491980508
01118,14192.0,39.0,65231.0,28920.0,1489.0,10.491826381059752
01119,13942.0,35.2,47417.0,22387.0,2166.0,15.535791134700904
01128,2568.0,47.7,74963.0,30796.0,25.0,0.9735202492211839
01129,7160.0,40.2,62280.0,27368.0,1041.0,14.539106145251397
01151,9581.0,28.2,34280.0,16299.0,3226.0,33.670806805135165
01199,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
01201,45557.0,43.5,44120.0,27372.0,7139.0,15.670478740917972
01220,8536.0,43.9,41950.0,25159.0,956.0,11.199625117150891
01222,811.0,41.8,78080.0,39513.0,8.0,0.9864364981504316
01223,2336.0,52.5,65033.0,40124.0,132.0,5.6506849315068495
01224,242.0,46.9,37112.0,22881.0,5.0,2.0661157024793386
01225,3057.0,46.5,58007.0,29865.0,245.0,8.014393195943736
01226,6944.0,47.0,48320.0,29021.0,1132.0,16.30184331797235
01229,131.0,39.7,34250.0,23767.0,6.0,4.580152671755725
01230,8148.0,46.9,53180.0,33871.0,621.0,7.621502209131075
01235,2904.0,46.5,64507.0,30120.0,145.0,4.993112947658402
01236,1574.0,43.7,62917.0,30360.0,60.0,3.8119440914866582
01237,2735.0,38.0,76346.0,35539.0,40.0,1.4625228519195612
01238,6245.0,45.9,61492.0,34597.0,569.0,9.11128903122498
01240,4823.0,56.4,51396.0,42755.0,629.0,13.04167530582625
01242,192.0,56.5,55333.0,33421.0,2.0,1.0416666666666667
01243,383.0,56.5,73750.0,45785.0,16.0,4.177545691906006
01244,149.0,60.0,27639.0,23814.0,20.0,13.422818791946309
01245,807.0,54.4,53833.0,37713.0,103.0,12.763320941759604
01247,15859.0,43.1,39636.0,23642.0,2526.0,15.927864304180591
01253,683.0,49.1,66250.0,33233.0,42.0,6.149341142020498
01254,1043.0,56.9,83750.0,52235.0,55.0,5.273250239693192
01255,896.0,48.1,56250.0,31261.0,41.0,4.575892857142857
01256,703.0,46.4,57222.0,28282.0,33.0,4.694167852062589
01257,2140.0,52.4,46917.0,34878.0,321.0,15.0
01258,334.0,62.5,64250.0,44141.0,14.0,4.191616766467066
01259,540.0,54.1,61500.0,38970.0,20.0,3.7037037037037037
01260,246.0,46.8,47250.0,21226.0,13.0,5.284552845528455
01262,1337.0,52.1,47250.0,39836.0,216.0,16.155572176514585
01264,156.0,66.4,90625.0,47272.0,29.0,18.58974358974359
01266,1491.0,51.9,78333.0,44368.0,92.0,6.170355466130114
01267,7906.0,35.1,74167.0,34448.0,359.0,4.540855046799899
01270,766.0,49.1,69444.0,34329.0,53.0,6.919060052219321
01301,17731.0,42.9,48612.0,27245.0,2531.0,14.274434606057188
01330,1596.0,47.1,77411.0,36165.0,102.0,6.390977443609023
